store_id,retailer,country,state,location_setting,place_id,mapping_confidence,operational_status,usable_for_network,current_source,eligible_for_analytics,eligible_for_place_analytics,source_id,issues
independent-other-optical-osm-au-node-2161974913,Independent / Other optical,Australia,ACT,Uncertain,,Uncertain,Limited,false,true,false,false,osm-opticians,record lacks a meaningful public storefront address; location setting needs review
independent-other-optical-osm-au-node-11974077342,Independent / Other optical,Australia,ACT,High Street,corridor-au-act-act-benjamin-way,Medium,Limited,false,true,false,false,osm-opticians,record lacks a meaningful public storefront address
independent-other-optical-osm-au-node-8515803402,Independent / Other optical,Australia,ACT,Uncertain,,Uncertain,Limited,false,true,false,false,osm-opticians,record lacks a meaningful public storefront address; location setting needs review
independent-other-optical-osm-au-node-2161972681,Independent / Other optical,Australia,ACT,Uncertain,,Uncertain,Limited,false,true,false,false,osm-opticians,record lacks a meaningful public storefront address; location setting needs review
independent-other-optical-osm-au-node-1896332017,Independent / Other optical,Australia,ACT,Uncertain,,Uncertain,Limited,false,true,false,false,osm-opticians,record lacks a meaningful public storefront address; location setting needs review
independent-other-optical-provision-16725,Independent / Other optical,Australia,ACT,High Street,corridor-au-act-barton-sydney-avenue,Medium,Usable,true,true,true,true,provision-affiliation,
bailey-nelson-belconnen,Bailey Nelson,Australia,ACT,Shopping Centre,place-au-act-westfield-belconnen,High,Usable,true,true,true,true,bailey-nelson-au,
opsm-1221,OPSM,Australia,ACT,Shopping Centre,place-au-act-westfield-belconnen,Medium,Usable,true,true,true,true,opsm-au,
oscar-wylee-124,Oscar Wylee,Australia,ACT,Shopping Centre,place-au-act-westfield-belconnen,High,Usable,true,true,true,true,oscar-wylee-au,
specsavers-3307,Specsavers,Australia,ACT,Shopping Centre,place-au-act-westfield-belconnen,High,Usable,true,true,true,true,specsavers-au,
independent-other-optical-provision-16733,Independent / Other optical,Australia,ACT,High Street,corridor-au-act-braddon-ainslie-avenue,Medium,Usable,true,true,true,true,provision-affiliation,
bailey-nelson-canberra,Bailey Nelson,Australia,ACT,High Street,corridor-au-act-canberra-bunda-street,Medium,Usable,true,true,true,true,bailey-nelson-au,
george-matilda-17200,George & Matilda,Australia,ACT,High Street,corridor-au-act-canberra-city-walk,Medium,Usable,true,true,true,true,george-and-matilda-au,
george-matilda-17217,George & Matilda,Australia,ACT,High Street,corridor-au-act-canberra-northbourne-avenue,Medium,Usable,true,true,true,true,george-and-matilda-au,
opsm-1029,OPSM,Australia,ACT,High Street,corridor-au-act-canberra-bunda-street,Medium,Usable,true,true,true,true,opsm-au,
optical-superstore-60368,Optical Superstore,Australia,ACT,High Street,corridor-au-act-canberra-ainslie-place,Medium,Usable,true,true,true,true,optical-superstore-au,
oscar-wylee-12,Oscar Wylee,Australia,ACT,Shopping Centre,place-au-act-canberra-centre,High,Usable,true,true,true,true,oscar-wylee-au,
specsavers-3309,Specsavers,Australia,ACT,Shopping Centre,place-au-act-canberra-centre,High,Usable,true,true,true,true,specsavers-au,
eyecare-plus-8550,Eyecare Plus,Australia,ACT,High Street,corridor-au-act-coombs-woodberry-avenue,Medium,Usable,true,true,true,true,eyecare-plus-au,
oscar-wylee-73,Oscar Wylee,Australia,ACT,Shopping Centre,place-au-act-south-point-shopping-centre,Medium,Usable,true,true,true,true,oscar-wylee-au,
