group_id,canonical_name,parent_group_id,brand_name,group_type,country_scope,official_url,status,source_url,last_verified_at,confidence
group-scentre,Scentre Group,,Westfield,PROPERTY_COMPANY,Australia and New Zealand,https://www.scentregroup.com/our-portfolio,Active,https://www.scentregroup.com/our-portfolio,2026-09-02,High
group-vicinity,Vicinity Centres,,,PROPERTY_COMPANY,Australia,https://www.vicinity.com.au/portfolio/our-properties,Active,https://www.vicinity.com.au/portfolio/our-properties,2026-09-02,High
group-gpt,GPT Group,,,PROPERTY_COMPANY,Australia,https://www.gpt.com.au/our-business/retail,Active,https://www.gpt.com.au/our-business/retail,2026-09-02,High
group-gpt-wholesale-shopping-centre-fund,GPT Wholesale Shopping Centre Fund,group-gpt,GWSCF,INVESTMENT_VEHICLE,Australia,https://wholesalefunds.gpt.com.au/about-gwscf,Active,https://wholesalefunds.gpt.com.au/about-gwscf,2026-09-02,High
group-dexus,Dexus,,,PROPERTY_COMPANY,Australia,https://www.dexus.com/,Active,https://www.dexus.com/,2026-09-02,High
group-qic,QIC Real Estate,,,ASSET_MANAGER,Australia,https://www.qic.com.au/real-estate,Active,https://www.qic.com.au/real-estate,2026-09-02,High
group-stockland,Stockland,,,PROPERTY_COMPANY,Australia,https://www.stockland.com.au/shopping-centres,Active,https://www.stockland.com.au/shopping-centres,2026-09-02,High
group-mirvac,Mirvac,,,PROPERTY_COMPANY,Australia,https://www.mirvac.com/retail,Active,https://www.mirvac.com/retail,2026-09-02,High
group-ispt,ISPT,,,ASSET_MANAGER,Australia,https://ispt.com.au/,Active,https://ispt.com.au/,2026-09-02,High
group-region,Region Group,,,PROPERTY_COMPANY,Australia,https://regiongroup.au/,Active,https://regiongroup.au/,2026-09-02,High
group-charter-hall,Charter Hall,,,ASSET_MANAGER,Australia,https://www.charterhall.com.au/,Active,https://www.charterhall.com.au/,2026-09-02,High
group-ma-financial,MA Financial,,,ASSET_MANAGER,Australia,https://mafinancial.com/,Active,https://mafinancial.com/,2026-09-02,High
group-ip-generation,IP Generation,group-ma-financial,,ASSET_MANAGER,Australia,https://www.ipgeneration.com.au/,Active,https://www.ipgeneration.com.au/about/,2026-09-02,High
group-retpro,RetPro,group-ma-financial,,CENTRE_OPERATOR,Australia,https://retprogroup.com.au/,Active,https://retprogroup.com.au/about-us/,2026-09-02,High
group-haben,Haben,,,PROPERTY_COMPANY,Australia,https://haben.com.au/,Active,https://haben.com.au/,2026-09-02,High
group-kiwi-property,Kiwi Property,,,PROPERTY_COMPANY,New Zealand,https://www.kiwiproperty.com/,Active,https://www.kiwiproperty.com/,2026-09-02,High
group-stride,Stride Property,,,PROPERTY_COMPANY,New Zealand,https://www.strideproperty.co.nz/,Active,https://www.strideproperty.co.nz/,2026-09-02,High
group-diversified-nz,Diversified Property Fund,group-stride,Diversified,INVESTMENT_VEHICLE,New Zealand,https://strideproperty.co.nz/portfolios/,Active,https://strideproperty.co.nz/portfolios/,2026-09-02,High
group-dexus-wholesale-shopping-centre-fund,Dexus Wholesale Shopping Centre Fund,group-dexus,DWSF,INVESTMENT_VEHICLE,Australia and New Zealand,https://www.dexus.com/investor-centre/unlisted-funds,Active,https://www.dexus.com/content/dam/dexus/documents/funds/dexus-core-property-fund-dcpf/performance/DCPF%20March%202025%20Quarterly%20Report.pdf,2026-09-02,High
group-cbus-property,Cbus Property,,,PROPERTY_COMPANY,Australia,https://cbusproperty.com.au/,Active,https://cbusproperty.com.au/property/macquarie-centre/,2026-09-02,High
group-fawkner,Fawkner Property,,,ASSET_MANAGER,Australia,https://www.fawknerproperty.com.au/,Active,https://www.fawknerproperty.com.au/portfolio/erina-fair,2026-09-02,High
group-fisher-fund,Fisher Fund,,,INVESTMENT_VEHICLE,New Zealand,https://fisherfunds.co.nz/,Active,https://www.dexus.com/investing/properties/bayfair-shopping-centre-mount-maunganui-tauranga.html,2026-09-02,Medium
group-adelaide-arcade,Adelaide Arcade Pty Ltd,,,PRIVATE_LANDLORD,Australia,https://adelaidearcade.com.au/,Active,https://abr.business.gov.au/ABN/View?id=58007546849,2026-09-02,High
group-evans-ayers,Evans & Ayers Pty Ltd,,,EXTERNAL_AGENCY,Australia,https://adelaidearcade.com.au/,Active,https://adelaidearcade.com.au/wp-content/uploads/2025/06/Shop-146-Lease-.pdf,2026-09-02,Medium
group-silverleaf-investments,Silverleaf Investments Pty Ltd,,,PRIVATE_LANDLORD,Australia,https://www.catandfiddlearcade.com/,Active,https://www.catandfiddlearcade.com/how-to-get-here/,2026-09-02,High
group-investore,Investore Property,,,INVESTMENT_VEHICLE,New Zealand,https://www.investoreproperty.co.nz/,Active,https://www.investoreproperty.co.nz/,2026-09-02,High
group-oyster,Oyster Property Group,,,ASSET_MANAGER,New Zealand,https://www.oysterproperty.co.nz/,Active,https://www.oysterproperty.co.nz/,2026-09-02,High
group-precinct-nz,Precinct Properties,,,PROPERTY_COMPANY,New Zealand,https://www.precinct.co.nz/,Active,https://www.precinct.co.nz/,2026-09-02,High
group-cbre,CBRE,,,EXTERNAL_AGENCY,Australia and New Zealand,https://www.cbre.com.au/,Active,https://www.cbre.com.au/,2026-09-02,High
