previous_place_id,canonical_place_id,reason,evidence_url,last_verified_at
place-au-qld-riverlink-shopping-centre,place-au-qld-ipswich-riverlink-shopping-centre,Laubman & Pank's official Riverlink address and the official Riverlink venue record identify the same North Ipswich shopping centre,https://www.riverlink.net.au/,2026-09-02
place-au-qld-stockland-rockhampton,place-au-qld-stockland-rockhampton-shopping-centre,The expanded named-network cluster remains the same official Stockland Rockhampton property under its reviewed stable ID,https://www.stockland.com.au/shopping-centres/centres/stockland-rockhampton,2026-09-02
place-au-vic-gateway-shopping-village,place-au-unknown-the-gateway-shopping-centre,The official ProVision practice address and Region Group portfolio identify Gateway Shopping Village and The Gateway Shopping Centre as the same Langwarrin property at 230 Cranbourne-Frankston Road,https://regiongroup.au/portfolio/,2026-09-02
place-au-qld-grand-central-shopping-centre,place-au-qld-toowoomba-grand-central-shopping-centre,The Laubman and Pank tenancy and QIC property profile identify Grand Central Shopping Centre as the existing stable Toowoomba Grand Central property,https://www.qicre.com/properties/grand-central,2026-09-02
place-au-wa-belmont-forum-shopping-centre,place-au-wa-belmont-forum,The Laubman and Pank tenancy and GPT profile identify Belmont Forum Shopping Centre as the existing stable Belmont Forum property,https://www.gpt.com.au/property/retail/belmont-forum,2026-09-02
place-au-sa-north-mall,place-au-sa-elizabeth-shopping-centre,Laubman and Pank's official Shop 58 North Mall address is a tenancy within Elizabeth City Centre at 50 Elizabeth Way,https://www.elizabethcitycentre.com.au/,2026-09-02
place-au-qld-rockhampton-stockland-shopping-centre,place-au-qld-stockland-rockhampton-shopping-centre,The expanded named-network cluster uses a fuller name for the same official Stockland Rockhampton property,https://www.stockland.com.au/shopping-centres/centres/stockland-rockhampton,2026-09-02
place-au-nsw-warringah-mall,place-au-nsw-westfield-warringah-mall,Same official Westfield Warringah Mall property,https://www.scentregroup.com/our-portfolio/centres/westfield-warringah-mall,2026-09-02
place-au-qld-carindale,place-au-qld-westfield-carindale,Same official Westfield Carindale property,https://www.scentregroup.com/our-portfolio/centres/westfield-carindale,2026-09-02
place-au-vic-watergardens-shopping-centre,place-au-vic-watergardens-town-centre,Same Watergardens property at 399 Melton Highway under retailer naming variants,https://www.qic.com/Investment-Capabilities/Real-Estate/Real-Estate-Assets/watergardens,2026-09-02
