previous_place_id,canonical_place_id,reason,evidence_url,last_verified_at
place-au-nsw-warringah-mall,place-au-nsw-westfield-warringah-mall,Same official Westfield Warringah Mall property,https://www.scentregroup.com/our-portfolio/centres/westfield-warringah-mall,2026-09-02
place-au-qld-carindale,place-au-qld-westfield-carindale,Same official Westfield Carindale property,https://www.scentregroup.com/our-portfolio/centres/westfield-carindale,2026-09-02
place-au-vic-watergardens-shopping-centre,place-au-vic-watergardens-town-centre,Same Watergardens property at 399 Melton Highway under retailer naming variants,https://www.qic.com/Investment-Capabilities/Real-Estate/Real-Estate-Assets/watergardens,2026-09-02
place-au-qld-chermside,place-au-qld-westfield-chermside,Same official Westfield Chermside property,https://www.scentregroup.com/our-portfolio/centres/westfield-chermside,2026-09-02
place-au-qld-upper-mt-gravatt-westfield,place-au-qld-mt-gravatt-westfield,Same official Westfield Mt Gravatt property,https://www.scentregroup.com/our-portfolio/centres/westfield-mt-gravatt,2026-09-02
place-au-sa-marion-east-westfield-lvl-2,place-au-sa-westfield-marion,Same official Westfield Marion property,https://www.scentregroup.com/our-portfolio/centres/westfield-marion,2026-09-02
place-au-sa-tea-tree-plaza,place-au-sa-westfield-tea-tree-plaza,Same official Westfield Tea Tree Plaza property,https://www.scentregroup.com/our-portfolio/centres/westfield-tea-tree-plaza,2026-09-02
place-au-vic-southland,place-au-vic-westfield-southland,Same official Westfield Southland property,https://www.scentregroup.com/our-portfolio/centres/westfield-southland,2026-09-02
place-au-nsw-blacktown-westpoint-shopping-centre,place-au-nsw-westpoint-shopping-centre,Same official Westpoint Shopping Centre property in Blacktown,https://haben.com.au/properties/westpoint-shopping-centre,2026-09-02
place-au-wa-carousel,place-au-wa-westfield-carousel,Same official Westfield Carousel property,https://www.scentregroup.com/our-portfolio/centres/westfield-carousel,2026-09-02
place-au-unknown-westfield-fountain-gate-shopping-centre,place-au-vic-westfield-fountain-gate,Same official Westfield Fountain Gate property,https://www.scentregroup.com/our-portfolio/centres/westfield-fountain-gate,2026-09-02
place-au-qld-capalaba-park-shopping-centre-corner-redland-bay-mt-cotton-roads-capalaba-qld-4157,place-au-qld-capalaba-park-shopping-centre,Same Capalaba Park Shopping Centre at the official Redland Bay and Mount Cotton Roads address,https://www.capalabapark.com.au/,2026-09-02
place-au-nsw-town-centre-circuit,place-au-nsw-salamander-shopping-centre,Official Charter Hall property and venue sources identify the one centre at 2 Town Centre Circuit as Salamander Bay Square and current public health-service records place both optical stores inside it,https://www.charterhall.com.au/property/property-detail/salamander-bay-square-salamander-bay-nsw,2026-09-02
place-au-qld-hyperdome-loganholme,place-au-qld-logan-hyperdome,Current owner and venue sources identify Hyperdome Loganholme and Logan Hyperdome as the same Hyperdome property,https://www.qicre.com/Properties/Hyperdome,2026-09-02
place-au-qld-maroochydore-sunshine-plaza,place-au-qld-sunshine-plaza,Current GPT and venue sources identify Maroochydore Sunshine Plaza and Sunshine Plaza as the same property,https://www.gpt.com.au/property/retail/sunshine-plaza,2026-09-02
place-au-vic-bayside-centre,place-au-vic-frankston-bayside-centre,Current Vicinity and venue sources identify Bayside Centre and Frankston Bayside Centre as the same Bayside property,https://www.vicinity.com.au/pages/portfolio/our-properties/bayside,2026-09-02
place-au-vic-cranbourne-park-shopping-centre,place-au-vic-cranbourne-park-shopping-centre-sp107,Current Vicinity and venue sources identify both Cranbourne Park place records as the same property,https://www.vicinity.com.au/portfolio/our-properties/cranbourne-park,2026-09-02
place-au-sa-elizabeth-city-centre,place-au-sa-elizabeth-shopping-centre,Current Vicinity and venue sources identify both Elizabeth City Centre records as the same property,https://www.vicinity.com.au/pages/portfolio/our-properties/elizabeth-city-centre,2026-09-02
place-au-wa-galleria-shopping-centre,place-au-wa-morley-galleria,Current Vicinity and venue sources identify Galleria Shopping Centre and Morley Galleria as the same Galleria property,https://www.vicinity.com.au/portfolio/our-properties/galleria,2026-09-02
place-au-wa-morley-galleria-ground-floor,place-au-wa-morley-galleria,Current Vicinity and venue sources identify Morley Galleria Ground Floor as the same Galleria property,https://www.vicinity.com.au/portfolio/our-properties/galleria,2026-09-02
place-au-tas-rosny-park-eastlands-shopping-centre,place-au-tas-hobart-eastlands,The current Eastlands directory lists Bailey Nelson and Specsavers in the same Eastlands centre at 26 Bligh Street,https://www.eastlandssc.com.au/stores/bailey-nelson,2026-09-02
place-au-vic-melbourne-central-shopping-centre-ground-level,place-au-vic-melbourne-central-shopping-centre,The ground-level retailer address is within the one official Melbourne Central property at 211 La Trobe Street,https://www.melbournecentral.com.au/centre-info/about,2026-09-02
place-au-vic-cnr-centre-valley-rd-princes-dr,place-au-vic-mid-valley-shopping-centre,The current Mid Valley directory lists OPSM and Specsavers in the same centre at the official Centre Valley Road and Princes Drive address,https://www.midvalleyshoppingcentre.com.au/stores/,2026-09-02
